Term,Name
GO:0008064,regulation of actin polymerization or depolymerization
GO:0006499,N-terminal protein myristoylation
GO:0031324,negative regulation of cellular metabolic process
GO:0006096,glycolytic process
GO:0009116,nucleoside metabolic process
GO:0006413,translational initiation
GO:0016125,sterol metabolic process
GO:0015939,pantothenate metabolic process
GO:0043170,macromolecule metabolic process
GO:0044238,primary metabolic process
GO:0046395,carboxylic acid catabolic process
GO:0046040,IMP metabolic process
GO:0015986,ATP synthesis coupled proton transport
GO:0034622,cellular protein-containing complex assembly
GO:0051716,cellular response to stimulus
GO:0008037,cell recognition
GO:0110053,regulation of actin filament organization
GO:0006220,pyrimidine nucleotide metabolic process
GO:0006739,NADP metabolic process
GO:0090529,cell septum assembly
GO:0007154,cell communication
GO:0044237,cellular metabolic process
GO:0010605,negative regulation of macromolecule metabolic process
GO:0070972,protein localization to endoplasmic reticulum
GO:0034728,nucleosome organization
GO:0006813,potassium ion transport
GO:0051493,regulation of cytoskeleton organization
GO:0009205,purine ribonucleoside triphosphate metabolic process
GO:0006265,DNA topological change
GO:0006659,phosphatidylserine biosynthetic process
GO:0031323,regulation of cellular metabolic process
GO:0051248,negative regulation of protein metabolic process
GO:0044087,regulation of cellular component biogenesis
GO:0015980,energy derivation by oxidation of organic compounds
GO:0044255,cellular lipid metabolic process
GO:1901657,glycosyl compound metabolic process
GO:0019725,cellular homeostasis
GO:0009100,glycoprotein metabolic process
GO:0015976,carbon utilization
GO:0010468,regulation of gene expression
GO:0016311,dephosphorylation
GO:0009142,nucleoside triphosphate biosynthetic process
GO:0006352,"DNA-templated transcription, initiation"
GO:0044249,cellular biosynthetic process
GO:0006498,N-terminal protein lipidation
GO:0006505,GPI anchor metabolic process
GO:0009058,biosynthetic process
GO:0009416,response to light stimulus
GO:0030041,actin filament polymerization
GO:0006547,histidine metabolic process
GO:0016998,cell wall macromolecule catabolic process
GO:0006650,glycerophospholipid metabolic process
GO:0042886,amide transport
GO:0031327,negative regulation of cellular biosynthetic process
GO:0006188,IMP biosynthetic process
GO:0071951,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
GO:0009101,glycoprotein biosynthetic process
GO:0070085,glycosylation
GO:0006766,vitamin metabolic process
GO:0016485,protein processing
GO:0005996,monosaccharide metabolic process
GO:0008202,steroid metabolic process
GO:0008299,isoprenoid biosynthetic process
GO:0090066,regulation of anatomical structure size
GO:0035434,copper ion transmembrane transport
GO:1901568,fatty acid derivative metabolic process
GO:0007049,cell cycle
GO:0006793,phosphorus metabolic process
GO:0098655,cation transmembrane transport
GO:0140056,organelle localization by membrane tethering
GO:1901135,carbohydrate derivative metabolic process
GO:0009185,ribonucleoside diphosphate metabolic process
GO:0010035,response to inorganic substance
GO:0010608,posttranscriptional regulation of gene expression
GO:0071805,potassium ion transmembrane transport
GO:0019400,alditol metabolic process
GO:0006508,proteolysis
GO:0048731,system development
GO:0016042,lipid catabolic process
GO:0006644,phospholipid metabolic process
GO:0065008,regulation of biological quality
GO:0009725,response to hormone
GO:0006032,chitin catabolic process
GO:0006807,nitrogen compound metabolic process
GO:0051276,chromosome organization
GO:0034504,protein localization to nucleus
GO:0009648,photoperiodism
GO:0006772,thiamine metabolic process
GO:0006189,'de novo' IMP biosynthetic process
GO:0048544,recognition of pollen
GO:0006497,protein lipidation
GO:0043648,dicarboxylic acid metabolic process
GO:0042549,photosystem II stabilization
GO:0006869,lipid transport
GO:0051049,regulation of transport
GO:0051179,localization
GO:0006040,amino sugar metabolic process
GO:0005985,sucrose metabolic process
GO:0034655,nucleobase-containing compound catabolic process
GO:0006418,tRNA aminoacylation for protein translation
GO:0003824,catalytic activity
GO:0051090,regulation of DNA-binding transcription factor activity
GO:0018130,heterocycle biosynthetic process
GO:0015979,photosynthesis
GO:0006419,alanyl-tRNA aminoacylation
GO:0034645,cellular macromolecule biosynthetic process
GO:0018904,ether metabolic process
GO:0008104,protein localization
GO:0019321,pentose metabolic process
GO:1901575,organic substance catabolic process
GO:1901564,organonitrogen compound metabolic process
GO:0006790,sulfur compound metabolic process
GO:0009179,purine ribonucleoside diphosphate metabolic process
GO:0019220,regulation of phosphate metabolic process
GO:0006811,ion transport
GO:0009611,response to wounding
GO:0006812,cation transport
GO:0033014,tetrapyrrole biosynthetic process
GO:0006664,glycolipid metabolic process
GO:0009250,glucan biosynthetic process
GO:0046031,ADP metabolic process
GO:0051013,microtubule severing
GO:0005977,glycogen metabolic process
GO:0006417,regulation of translation
GO:0098656,anion transmembrane transport
GO:0032446,protein modification by small protein conjugation
GO:2000112,regulation of cellular macromolecule biosynthetic process
GO:0043039,tRNA aminoacylation
GO:0071616,acyl-CoA biosynthetic process
GO:0006887,exocytosis
GO:0046416,D-amino acid metabolic process
GO:0009451,RNA modification
GO:0033875,ribonucleoside bisphosphate metabolic process
GO:0046351,disaccharide biosynthetic process
GO:0019509,L-methionine salvage from methylthioadenosine
GO:0043044,ATP-dependent chromatin remodeling
GO:0034641,cellular nitrogen compound metabolic process
GO:0000105,histidine biosynthetic process
GO:0006030,chitin metabolic process
GO:0032502,developmental process
GO:0006753,nucleoside phosphate metabolic process
GO:0006555,methionine metabolic process
GO:0018342,protein prenylation
GO:0051704,multi-organism process
GO:0034030,ribonucleoside bisphosphate biosynthetic process
GO:0032268,regulation of cellular protein metabolic process
GO:0006071,glycerol metabolic process
GO:0000226,microtubule cytoskeleton organization
GO:0033554,cellular response to stress
GO:0033692,cellular polysaccharide biosynthetic process
GO:0000272,polysaccharide catabolic process
GO:0032970,regulation of actin filament-based process
GO:0071267,L-methionine salvage
GO:0006412,translation
GO:0006163,purine nucleotide metabolic process
GO:0044282,small molecule catabolic process
GO:0010228,vegetative to reproductive phase transition of meristem
GO:0032501,multicellular organismal process
GO:0009875,pollen-pistil interaction
GO:0006833,water transport
GO:0032271,regulation of protein polymerization
GO:1901136,carbohydrate derivative catabolic process
GO:0070727,cellular macromolecule localization
GO:0016772,"transferase activity, transferring phosphorus-containing groups"
GO:1902600,proton transmembrane transport
GO:0000271,polysaccharide biosynthetic process
GO:0006206,pyrimidine nucleobase metabolic process
GO:0016310,phosphorylation
GO:1901362,organic cyclic compound biosynthetic process
GO:0003333,amino acid transmembrane transport
GO:2000028,"regulation of photoperiodism, flowering"
GO:0031399,regulation of protein modification process
GO:0016773,"phosphotransferase activity, alcohol group as acceptor"
GO:0035383,thioester metabolic process
GO:0006074,(1->3)-beta-D-glucan metabolic process
GO:0007264,small GTPase mediated signal transduction
GO:0051169,nuclear transport
GO:0006720,isoprenoid metabolic process
GO:0072527,pyrimidine-containing compound metabolic process
GO:0048573,"photoperiodism, flowering"
GO:0009987,cellular process
GO:2000026,regulation of multicellular organismal development
GO:0003006,developmental process involved in reproduction
GO:0006338,chromatin remodeling
GO:0043043,peptide biosynthetic process
GO:0006952,defense response
GO:0042218,1-aminocyclopropane-1-carboxylate biosynthetic process
GO:0034661,ncRNA catabolic process
GO:0042558,pteridine-containing compound metabolic process
GO:0006355,"regulation of transcription, DNA-templated"
GO:0042398,cellular modified amino acid biosynthetic process
GO:0006886,intracellular protein transport
GO:0046467,membrane lipid biosynthetic process
GO:0044272,sulfur compound biosynthetic process
GO:0015994,chlorophyll metabolic process
GO:1901661,quinone metabolic process
GO:0015940,pantothenate biosynthetic process
GO:0006913,nucleocytoplasmic transport
GO:0051171,regulation of nitrogen compound metabolic process
GO:0043543,protein acylation
GO:1901565,organonitrogen compound catabolic process
GO:0006424,glutamyl-tRNA aminoacylation
GO:0006073,cellular glucan metabolic process
GO:0044257,cellular protein catabolic process
GO:0009056,catabolic process
GO:0033365,protein localization to organelle
GO:0009312,oligosaccharide biosynthetic process
GO:0051603,proteolysis involved in cellular protein catabolic process
GO:0042254,ribosome biogenesis
GO:0006506,GPI anchor biosynthetic process
GO:0005737,cytoplasm
GO:0006556,S-adenosylmethionine biosynthetic process
GO:1901607,alpha-amino acid biosynthetic process
GO:0006662,glycerol ether metabolic process
GO:0043086,negative regulation of catalytic activity
GO:0009628,response to abiotic stimulus
GO:0016301,kinase activity
GO:0006914,autophagy
GO:1903509,liposaccharide metabolic process
GO:0006281,DNA repair
GO:0006486,protein glycosylation
GO:0006434,seryl-tRNA aminoacylation
GO:0072348,sulfur compound transport
GO:0010109,regulation of photosynthesis
GO:0030832,regulation of actin filament length
GO:0140352,export from cell
GO:0006260,DNA replication
GO:0006796,phosphate-containing compound metabolic process
GO:0006437,tyrosyl-tRNA aminoacylation
GO:0000917,division septum assembly
GO:0048856,anatomical structure development
GO:0016054,organic acid catabolic process
GO:0046034,ATP metabolic process
GO:0009144,purine nucleoside triphosphate metabolic process
GO:0006573,valine metabolic process
GO:0034311,diol metabolic process
GO:0008033,tRNA processing
GO:0006518,peptide metabolic process
GO:0009233,menaquinone metabolic process
GO:0098662,inorganic cation transmembrane transport
GO:0009112,nucleobase metabolic process
GO:0006396,RNA processing
GO:0051274,beta-glucan biosynthetic process
GO:0006165,nucleoside diphosphate phosphorylation
GO:0006066,alcohol metabolic process
GO:0044262,cellular carbohydrate metabolic process
GO:0043414,macromolecule methylation
GO:0006566,threonine metabolic process
GO:0006351,"transcription, DNA-templated"
GO:0006637,acyl-CoA metabolic process
GO:0043412,macromolecule modification
GO:0051234,establishment of localization
GO:0045184,establishment of protein localization
GO:0044265,cellular macromolecule catabolic process
GO:0042493,response to drug
GO:0044260,cellular macromolecule metabolic process
GO:0009664,plant-type cell wall organization
GO:0009060,aerobic respiration
GO:0043094,cellular metabolic compound salvage
GO:0006614,SRP-dependent cotranslational protein targeting to membrane
GO:0009126,purine nucleoside monophosphate metabolic process
GO:0010558,negative regulation of macromolecule biosynthetic process
GO:0008654,phospholipid biosynthetic process
GO:1901293,nucleoside phosphate biosynthetic process
GO:0006091,generation of precursor metabolites and energy
GO:0043933,protein-containing complex subunit organization
GO:0006754,ATP biosynthetic process
GO:0043436,oxoacid metabolic process
GO:0044267,cellular protein metabolic process
GO:0009890,negative regulation of biosynthetic process
GO:0042440,pigment metabolic process
GO:0006436,tryptophanyl-tRNA aminoacylation
GO:0015937,coenzyme A biosynthetic process
GO:0042445,hormone metabolic process
GO:0034660,ncRNA metabolic process
GO:0000910,cytokinesis
GO:0005986,sucrose biosynthetic process
GO:0006401,RNA catabolic process
GO:0042723,thiamine-containing compound metabolic process
GO:0032506,cytokinetic process
GO:0042181,ketone biosynthetic process
GO:0015672,monovalent inorganic cation transport
GO:0030243,cellulose metabolic process
GO:0019752,carboxylic acid metabolic process
GO:0006457,protein folding
GO:0019684,"photosynthesis, light reaction"
GO:0045116,protein neddylation
GO:1903506,regulation of nucleic acid-templated transcription
GO:0030163,protein catabolic process
GO:0004672,protein kinase activity
GO:0031326,regulation of cellular biosynthetic process
GO:0009311,oligosaccharide metabolic process
GO:0009152,purine ribonucleotide biosynthetic process
GO:0006112,energy reserve metabolic process
GO:0070647,protein modification by small protein conjugation or removal
GO:0043038,amino acid activation
GO:0044281,small molecule metabolic process
GO:0010817,regulation of hormone levels
GO:0006468,protein phosphorylation
GO:0008610,lipid biosynthetic process
GO:0046483,heterocycle metabolic process
GO:0045047,protein targeting to ER
GO:0016458,gene silencing
GO:0006658,phosphatidylserine metabolic process
GO:0042545,cell wall modification
GO:0033043,regulation of organelle organization
GO:2000113,negative regulation of cellular macromolecule biosynthetic process
GO:0043603,cellular amide metabolic process
GO:0048367,shoot system development
GO:0009081,branched-chain amino acid metabolic process
GO:0046903,secretion
GO:2000241,regulation of reproductive process
GO:0046942,carboxylic acid transport
GO:0006400,tRNA modification
GO:0004674,protein serine/threonine kinase activity
GO:0023052,signaling
GO:0015740,C4-dicarboxylate transport
GO:0006857,oligopeptide transport
GO:0071702,organic substance transport
GO:0090407,organophosphate biosynthetic process
GO:0044271,cellular nitrogen compound biosynthetic process
GO:0044264,cellular polysaccharide metabolic process
GO:0006605,protein targeting
GO:0006665,sphingolipid metabolic process
GO:0006779,porphyrin-containing compound biosynthetic process
GO:0001101,response to acid chemical
GO:0008150,biological_process
GO:1901566,organonitrogen compound biosynthetic process
GO:0031047,gene silencing by RNA
GO:0019856,pyrimidine nucleobase biosynthetic process
GO:0009073,aromatic amino acid family biosynthetic process
GO:0009909,regulation of flower development
GO:0005976,polysaccharide metabolic process
GO:0016192,vesicle-mediated transport
GO:0042158,lipoprotein biosynthetic process
GO:0051640,organelle localization
GO:0006471,protein ADP-ribosylation
GO:0006855,drug transmembrane transport
GO:0009234,menaquinone biosynthetic process
GO:0051252,regulation of RNA metabolic process
GO:0009245,lipid A biosynthetic process
GO:0015698,inorganic anion transport
GO:0008154,actin polymerization or depolymerization
GO:0009072,aromatic amino acid family metabolic process
GO:0006904,vesicle docking involved in exocytosis
GO:0055114,oxidation-reduction process
GO:0046700,heterocycle catabolic process
GO:0009415,response to water
GO:0006323,DNA packaging
GO:0006541,glutamine metabolic process
GO:0065004,protein-DNA complex assembly
GO:0045859,regulation of protein kinase activity
GO:1901269,lipooligosaccharide metabolic process
GO:0016117,carotenoid biosynthetic process
GO:0051170,import into nucleus
GO:0046488,phosphatidylinositol metabolic process
GO:0065007,biological regulation
GO:0046390,ribose phosphate biosynthetic process
GO:0071840,cellular component organization or biogenesis
GO:0060255,regulation of macromolecule metabolic process
GO:0016053,organic acid biosynthetic process
GO:0071265,L-methionine biosynthetic process
GO:0009414,response to water deprivation
GO:0030244,cellulose biosynthetic process
GO:0006421,asparaginyl-tRNA aminoacylation
GO:0009086,methionine biosynthetic process
GO:0009892,negative regulation of metabolic process
GO:0008152,metabolic process
GO:0032940,secretion by cell
GO:0072528,pyrimidine-containing compound biosynthetic process
GO:0006612,protein targeting to membrane
GO:0034754,cellular hormone metabolic process
GO:0006082,organic acid metabolic process
GO:0009064,glutamine family amino acid metabolic process
GO:0006075,(1->3)-beta-D-glucan biosynthetic process
GO:0046493,lipid A metabolic process
GO:0016226,iron-sulfur cluster assembly
GO:0044070,regulation of anion transport
GO:0046907,intracellular transport
GO:0072330,monocarboxylic acid biosynthetic process
GO:0030036,actin cytoskeleton organization
GO:1901271,lipooligosaccharide biosynthetic process
GO:0044270,cellular nitrogen compound catabolic process
GO:0006325,chromatin organization
GO:0009066,aspartate family amino acid metabolic process
GO:0006950,response to stress
GO:0009269,response to desiccation
GO:0016108,tetraterpenoid metabolic process
GO:0009165,nucleotide biosynthetic process
GO:0006399,tRNA metabolic process
GO:0006367,transcription initiation from RNA polymerase II promoter
GO:0006778,porphyrin-containing compound metabolic process
GO:0006767,water-soluble vitamin metabolic process
GO:0051156,glucose 6-phosphate metabolic process
GO:0009966,regulation of signal transduction
GO:0004693,cyclin-dependent protein serine/threonine kinase activity
GO:0015977,carbon fixation
GO:0030001,metal ion transport
GO:1901617,organic hydroxy compound biosynthetic process
GO:0055085,transmembrane transport
GO:0010033,response to organic substance
GO:0006308,DNA catabolic process
GO:0071824,protein-DNA complex subunit organization
GO:0006304,DNA modification
GO:0043632,modification-dependent macromolecule catabolic process
GO:0031163,metallo-sulfur cluster assembly
GO:0000096,sulfur amino acid metabolic process
GO:0016109,tetraterpenoid biosynthetic process
GO:0044085,cellular component biogenesis
GO:0015985,"energy coupled proton transport, down electrochemical gradient"
GO:0001932,regulation of protein phosphorylation
GO:0032879,regulation of localization
GO:0061919,process utilizing autophagic mechanism
GO:0009063,cellular amino acid catabolic process
GO:0046165,alcohol biosynthetic process
GO:0016051,carbohydrate biosynthetic process
GO:0016567,protein ubiquitination
GO:0051239,regulation of multicellular organismal process
GO:0006221,pyrimidine nucleotide biosynthetic process
GO:0032787,monocarboxylic acid metabolic process
GO:0042255,ribosome assembly
GO:0006996,organelle organization
GO:0046173,polyol biosynthetic process
GO:0046939,nucleotide phosphorylation
GO:0045229,external encapsulating structure organization
GO:0010876,lipid localization
GO:0006364,rRNA processing
GO:0051174,regulation of phosphorus metabolic process
GO:0009259,ribonucleotide metabolic process
GO:0019538,protein metabolic process
GO:0048583,regulation of response to stimulus
GO:0009719,response to endogenous stimulus
GO:0019751,polyol metabolic process
GO:0006820,anion transport
GO:0007018,microtubule-based movement
GO:0017148,negative regulation of translation
GO:0016052,carbohydrate catabolic process
GO:0030029,actin filament-based process
GO:0015893,drug transport
GO:0097659,nucleic acid-templated transcription
GO:0017038,protein import
GO:0006629,lipid metabolic process
GO:1902652,secondary alcohol metabolic process
GO:0042548,"regulation of photosynthesis, light reaction"
GO:0045454,cell redox homeostasis
GO:0051273,beta-glucan metabolic process
GO:0022607,cellular component assembly
GO:0048278,vesicle docking
GO:0000003,reproduction
GO:0022414,reproductive process
GO:0050896,response to stimulus
GO:0006979,response to oxidative stress
GO:0048608,reproductive structure development
GO:0006725,cellular aromatic compound metabolic process
GO:0044036,cell wall macromolecule metabolic process
GO:0072594,establishment of protein localization to organelle
GO:0019637,organophosphate metabolic process
GO:0015995,chlorophyll biosynthetic process
GO:0000097,sulfur amino acid biosynthetic process
GO:0046474,glycerophospholipid biosynthetic process
GO:0045333,cellular respiration
GO:0008652,cellular amino acid biosynthetic process
GO:0051172,negative regulation of nitrogen compound metabolic process
GO:0005991,trehalose metabolic process
GO:0050794,regulation of cellular process
GO:0055086,nucleobase-containing small molecule metabolic process
GO:0140096,"catalytic activity, acting on a protein"
GO:0006014,D-ribose metabolic process
GO:0044248,cellular catabolic process
GO:0016114,terpenoid biosynthetic process
GO:0032269,negative regulation of cellular protein metabolic process
GO:0033865,nucleoside bisphosphate metabolic process
GO:0046500,S-adenosylmethionine metabolic process
GO:0048519,negative regulation of biological process
GO:0005622,intracellular
GO:0005975,carbohydrate metabolic process
GO:0006098,pentose-phosphate shunt
GO:0009135,purine nucleoside diphosphate metabolic process
GO:0019478,D-amino acid catabolic process
GO:1901606,alpha-amino acid catabolic process
GO:0006694,steroid biosynthetic process
GO:0071705,nitrogen compound transport
GO:0009199,ribonucleoside triphosphate metabolic process
GO:0023051,regulation of signaling
GO:0071554,cell wall organization or biogenesis
GO:0065009,regulation of molecular function
GO:0072522,purine-containing compound biosynthetic process
GO:1904029,regulation of cyclin-dependent protein kinase activity
GO:0009690,cytokinin metabolic process
GO:0044728,DNA methylation or demethylation
GO:0034470,ncRNA processing
GO:0009132,nucleoside diphosphate metabolic process
GO:0052803,imidazole-containing compound metabolic process
GO:0006366,transcription by RNA polymerase II
GO:0070925,organelle assembly
GO:0042256,mature ribosome assembly
GO:1901360,organic cyclic compound metabolic process
GO:0051128,regulation of cellular component organization
GO:0034248,regulation of cellular amide metabolic process
GO:0006289,nucleotide-excision repair
GO:0006631,fatty acid metabolic process
GO:0016569,covalent chromatin modification
GO:0034033,purine nucleoside bisphosphate biosynthetic process
GO:0046486,glycerolipid metabolic process
GO:0009088,threonine biosynthetic process
GO:0015031,protein transport
GO:0043467,regulation of generation of precursor metabolites and energy
GO:0006470,protein dephosphorylation
GO:1901615,organic hydroxy compound metabolic process
GO:0042559,pteridine-containing compound biosynthetic process
GO:0034312,diol biosynthetic process
GO:0006814,sodium ion transport
GO:0006425,glutaminyl-tRNA aminoacylation
GO:0071103,DNA conformation change
GO:0016740,transferase activity
GO:0009127,purine nucleoside monophosphate biosynthetic process
GO:0006613,cotranslational protein targeting to membrane
GO:0006414,translational elongation
GO:0022402,cell cycle process
GO:0006108,malate metabolic process
GO:0006026,aminoglycan catabolic process
GO:0065003,protein-containing complex assembly
GO:0016570,histone modification
GO:0006306,DNA methylation
GO:0016043,cellular component organization
GO:0042221,response to chemical
GO:0006821,chloride transport
GO:0006333,chromatin assembly or disassembly
GO:0006740,NADPH regeneration
GO:0019693,ribose phosphate metabolic process
GO:0018871,1-aminocyclopropane-1-carboxylate metabolic process
GO:0006643,membrane lipid metabolic process
GO:0035384,thioester biosynthetic process
GO:0051205,protein insertion into membrane
GO:0009161,ribonucleoside monophosphate metabolic process
GO:0080090,regulation of primary metabolic process
GO:0097354,prenylation
GO:0043413,macromolecule glycosylation
GO:0009145,purine nucleoside triphosphate biosynthetic process
GO:0006090,pyruvate metabolic process
GO:0050789,regulation of biological process
GO:0006928,movement of cell or subcellular component
GO:0032535,regulation of cellular component size
GO:0048580,regulation of post-embryonic development
GO:0048193,Golgi vesicle transport
GO:0048523,negative regulation of cellular process
GO:0006022,aminoglycan metabolic process
GO:0015711,organic anion transport
GO:0010556,regulation of macromolecule biosynthetic process
GO:0006139,nucleobase-containing compound metabolic process
GO:0045017,glycerolipid biosynthetic process
GO:0005984,disaccharide metabolic process
GO:0044042,glucan metabolic process
GO:0022613,ribonucleoprotein complex biogenesis
GO:0030833,regulation of actin filament polymerization
GO:0050793,regulation of developmental process
GO:0071900,regulation of protein serine/threonine kinase activity
GO:1903825,organic acid transmembrane transport
GO:0036211,protein modification process
GO:0034220,ion transmembrane transport
GO:0010646,regulation of cell communication
GO:0034032,purine nucleoside bisphosphate metabolic process
GO:0006974,cellular response to DNA damage stimulus
GO:0033866,nucleoside bisphosphate biosynthetic process
GO:0043604,amide biosynthetic process
GO:0035556,intracellular signal transduction
GO:1901137,carbohydrate derivative biosynthetic process
GO:0050790,regulation of catalytic activity
GO:0072657,protein localization to membrane
GO:0051103,DNA ligation involved in DNA repair
GO:0098772,molecular function regulator
GO:0110165,cellular anatomical entity
GO:0007165,signal transduction
GO:0007010,cytoskeleton organization
GO:0032259,methylation
GO:0016072,rRNA metabolic process
GO:0046146,tetrahydrobiopterin metabolic process
GO:0044092,negative regulation of molecular function
GO:0042325,regulation of phosphorylation
GO:0009150,purine ribonucleotide metabolic process
GO:0042180,cellular ketone metabolic process
GO:0005978,glycogen biosynthetic process
GO:0006575,cellular modified amino acid metabolic process
GO:0018377,protein myristoylation
GO:0009059,macromolecule biosynthetic process
GO:1901361,organic cyclic compound catabolic process
GO:0140110,transcription regulator activity
GO:0043254,regulation of protein-containing complex assembly
GO:0042357,thiamine diphosphate metabolic process
GO:0009791,post-embryonic development
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0009110,vitamin biosynthetic process
GO:0033036,macromolecule localization
GO:0046470,phosphatidylcholine metabolic process
GO:0051258,protein polymerization
GO:0007275,multicellular organism development
GO:0006810,transport
GO:0015833,peptide transport
GO:0006633,fatty acid biosynthetic process
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0019941,modification-dependent protein catabolic process
GO:0072599,establishment of protein localization to endoplasmic reticulum
GO:1901576,organic substance biosynthetic process
GO:1901071,glucosamine-containing compound metabolic process
GO:0046949,fatty-acyl-CoA biosynthetic process
GO:0043269,regulation of ion transport
GO:0009308,amine metabolic process
GO:0048831,regulation of shoot system development
GO:0046417,chorismate metabolic process
GO:0031365,N-terminal protein amino acid modification
GO:0015743,malate transport
GO:0034249,negative regulation of cellular amide metabolic process
GO:0005575,cellular_component
GO:0006511,ubiquitin-dependent protein catabolic process
GO:0044283,small molecule biosynthetic process
GO:0009206,purine ribonucleoside triphosphate biosynthetic process
GO:0006099,tricarboxylic acid cycle
GO:0006721,terpenoid metabolic process
GO:0006102,isocitrate metabolic process
GO:0006865,amino acid transport
GO:1901700,response to oxygen-containing compound
GO:0009201,ribonucleoside triphosphate biosynthetic process
GO:0009057,macromolecule catabolic process
GO:1901072,glucosamine-containing compound catabolic process
GO:0035337,fatty-acyl-CoA metabolic process
GO:0005992,trehalose biosynthetic process
GO:0010629,negative regulation of gene expression
GO:0015849,organic acid transport
GO:0071555,cell wall organization
GO:0033013,tetrapyrrole metabolic process
GO:0051649,establishment of localization in cell
GO:0042044,fluid transport
GO:0009229,thiamine diphosphate biosynthetic process
GO:0043549,regulation of kinase activity
GO:0008272,sulfate transport
GO:0009856,pollination
GO:0071669,plant-type cell wall organization or biogenesis
GO:0042592,homeostatic process
GO:0009167,purine ribonucleoside monophosphate metabolic process
GO:0006334,nucleosome assembly
GO:0019988,charged-tRNA amino acid modification
GO:0006310,DNA recombination
GO:0072350,tricarboxylic acid metabolic process
GO:0090567,reproductive shoot system development
GO:0007017,microtubule-based process
GO:0090150,establishment of protein localization to membrane
GO:0006259,DNA metabolic process
GO:0009123,nucleoside monophosphate metabolic process
GO:1902903,regulation of supramolecular fiber organization
GO:0009124,nucleoside monophosphate biosynthetic process
GO:0140029,exocytic process
GO:0071704,organic substance metabolic process
GO:0006606,protein import into nucleus
GO:0022406,membrane docking
GO:0016075,rRNA catabolic process
GO:0006164,purine nucleotide biosynthetic process
GO:0003674,molecular_function
GO:0044706,multi-multicellular organism process
GO:0019439,aromatic compound catabolic process
GO:0009247,glycolipid biosynthetic process
GO:0046394,carboxylic acid biosynthetic process
GO:0090304,nucleic acid metabolic process
GO:0046348,amino sugar catabolic process
GO:0019222,regulation of metabolic process
GO:2000104,negative regulation of DNA-dependent DNA replication
GO:0042451,purine nucleoside biosynthetic process
GO:0009062,fatty acid catabolic process
GO:0071214,cellular response to abiotic stimulus
GO:0055076,transition metal ion homeostasis
GO:0098771,inorganic ion homeostasis
GO:0031328,positive regulation of cellular biosynthetic process
GO:0044770,cell cycle phase transition
GO:0006397,mRNA processing
GO:0071944,cell periphery
GO:0055080,cation homeostasis
GO:0015931,nucleobase-containing compound transport
GO:1905818,regulation of chromosome separation
GO:0044247,cellular polysaccharide catabolic process
GO:0051173,positive regulation of nitrogen compound metabolic process
GO:0016106,sesquiterpenoid biosynthetic process
GO:0071310,cellular response to organic substance
GO:0140014,mitotic nuclear division
GO:0009435,NAD biosynthetic process
GO:0000398,"mRNA splicing, via spliceosome"
GO:0000070,mitotic sister chromatid segregation
GO:0032270,positive regulation of cellular protein metabolic process
GO:0045036,protein targeting to chloroplast
GO:0009845,seed germination
GO:0009698,phenylpropanoid metabolic process
